                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0651,                 3.3173,                 1.6979,                0.59573,                0.33508,                0.40205,                 0.2163,                 1.8469,                 2.9202,                 1.6557,               0.000275,               0.000275,               0.000275
                      2,                  1.695,                 1.4295,                 1.4306,                0.76832,                0.57587,                0.67039,                0.36187,                 1.7123,                  1.475,                 1.5297,             0.00055693,             0.00055693,             0.00055693
                      3,                 1.6493,                 1.1786,                 1.3887,                0.58231,                0.51399,                0.51755,                 0.2613,                 1.7826,                 1.7215,                 1.5839,             0.00083317,             0.00083317,             0.00083317
                      4,                 1.6434,                 1.1134,                 1.3956,                0.51541,                0.51141,                 0.5174,                 0.2783,                 1.7405,                 1.6191,                 1.5847,              0.0011037,              0.0011037,              0.0011037
                      5,                 1.6506,                 1.1356,                 1.3939,                0.63282,                0.52382,                 0.5349,                0.28233,                 1.7473,                 3.1167,                 1.5821,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.6271,                 1.0683,                  1.371,                0.65674,                0.63962,                0.66376,                0.34767,                 1.6896,                 2.2099,                 1.5143,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.6244,                  1.038,                 1.3704,                0.56838,                0.58286,                0.58306,                0.29484,                 1.7788,                 1.6502,                 1.5557,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.5981,                 1.0143,                 1.3606,                0.76989,                0.67001,                0.71016,                0.37793,                 1.7365,                 1.1966,                 1.4978,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.5916,                0.97873,                 1.3471,                0.79649,                0.68319,                0.76043,                0.41946,                 1.6761,                 1.2408,                 1.4881,               0.001151,               0.001151,               0.001151
                     10,                 1.5616,                0.94423,                 1.3425,                0.80464,                0.70391,                0.77146,                0.41765,                 1.6618,                 1.4016,                 1.4739,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.5608,                 0.9254,                 1.3271,                0.76193,                0.71621,                0.78231,                0.43697,                  1.665,                 1.0805,                 1.4713,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.5568,                 0.9182,                 1.3231,                0.79824,                0.70695,                0.76805,                0.42586,                 1.6742,                 1.0345,                 1.4763,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.5343,                  0.886,                 1.3111,                0.77392,                 0.7485,                  0.778,                0.42189,                 1.6521,                 1.0622,                 1.4501,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.5205,                0.87596,                 1.2975,                0.85728,                0.73412,                 0.8299,                  0.462,                 1.6704,                0.91594,                  1.463,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.5061,                0.86082,                 1.2937,                0.86605,                0.73052,                0.82061,                0.45911,                 1.6445,                0.94075,                 1.4377,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.5087,                0.84373,                 1.2931,                0.81119,                0.74306,                0.79561,                0.43699,                 1.6558,                 1.0333,                 1.4484,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.4938,                0.83691,                  1.286,                 0.8137,                0.67441,                0.74696,                0.42124,                 1.6577,                 1.1376,                 1.4288,               0.001052,               0.001052,               0.001052
                     18,                 1.4885,                0.83683,                  1.281,                0.79812,                0.78394,                0.82148,                0.46512,                 1.6311,                0.94421,                 1.4276,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.4884,                0.81781,                 1.2846,                0.84124,                0.66217,                0.78378,                 0.4328,                 1.6504,                 0.9638,                 1.4521,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.4728,                0.80973,                 1.2734,                0.87862,                0.76997,                0.84828,                0.48418,                  1.621,                 0.8669,                 1.4165,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.4683,                0.79632,                 1.2675,                0.89177,                0.74573,                0.85601,                0.48832,                 1.6206,                0.87108,                 1.4175,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.4551,                0.78122,                 1.2564,                0.85182,                0.73877,                0.83541,                0.47104,                 1.6188,                0.87727,                 1.4219,             0.00099013,             0.00099013,             0.00099013
                     23,                  1.447,                0.78234,                 1.2572,                0.87953,                0.67993,                 0.8305,                0.48402,                 1.5951,                0.97822,                 1.3877,             0.00097775,             0.00097775,             0.00097775
                     24,                  1.451,                0.77965,                 1.2483,                0.84102,                0.76986,                0.82414,                0.47706,                 1.6259,                0.82688,                 1.4157,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.4455,                0.77312,                 1.2442,                0.84055,                 0.7382,                0.83152,                 0.4642,                 1.6147,                0.85939,                 1.3967,               0.000953,               0.000953,               0.000953
                     26,                 1.4238,                0.75676,                  1.237,                 0.8259,                0.78708,                0.83384,                0.48117,                 1.6052,                0.85796,                 1.3976,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.4263,                0.75725,                 1.2444,                0.86149,                0.76209,                0.85545,                0.49302,                 1.6265,                0.83693,                 1.4098,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.4072,                0.72613,                 1.2247,                0.81514,                 0.7226,                0.80437,                0.45672,                 1.6819,                0.92548,                 1.4424,             0.00091588,             0.00091588,             0.00091588
                     29,                  1.395,                0.71764,                 1.2148,                0.84341,                0.78582,                0.85107,                0.49104,                 1.6196,                0.83454,                 1.3991,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.3926,                0.72657,                 1.2189,                0.85611,                0.76628,                0.83082,                0.47013,                 1.6582,                0.85379,                 1.4505,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.3961,                0.72355,                 1.2263,                0.83918,                 0.7687,                0.84605,                0.49259,                 1.5995,                0.82502,                  1.395,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.3683,                0.70506,                 1.2127,                0.86193,                0.79216,                0.85965,                 0.4982,                 1.6222,                0.82909,                 1.4227,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.3666,                0.70049,                 1.2156,                0.90109,                0.73392,                0.84644,                0.48712,                 1.6229,                0.82682,                 1.4226,               0.000854,               0.000854,               0.000854
                     34,                 1.3682,                0.70228,                 1.2093,                0.90079,                0.79152,                0.87154,                0.49483,                 1.5914,                0.79985,                 1.3931,             0.00084162,             0.00084162,             0.00084162
